Key,System name,School name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6010177,APPLING COUNTY,APPLING CO EL,183,826.96,10.9,68.3,20.8,89.1,183,823.67,15.8,66.7,17.5,84.2,183,827.10,23.5,51.9,24.6,76.5,183,814.02,27.9,57.9,14.2,72.1,183,802.96,45.9,50.8,3.3,54.1
6011050,APPLING COUNTY,ALTAMAHA ELEM,51,836.61,5.9,60.8,33.3,94.1,51,837.75,7.8,52.9,39.2,92.2,51,841.31,11.8,52.9,35.3,88.2,51,832.80,13.7,56.9,29.4,86.3,51,814.69,19.6,72.5,7.8,80.4
6015050,APPLING COUNTY,FOURTH DISTRI,17,830.35,11.8,70.6,17.6,88.2,17,829.06,11.8,64.7,23.5,88.2,17,822.24,17.6,76.5,5.9,82.4,17,819.71,29.4,47.1,23.5,70.6,17,798.00,47.1,52.9,0.0,52.9
6020187,ATKINSON COUNTY,WILLACOOCHEE,34,833.12,2.9,73.5,23.5,97.1,34,831.15,2.9,73.5,23.5,97.1,34,837.85,17.6,41.2,41.2,82.4,34,824.03,32.4,35.3,32.4,67.6,34,812.68,35.3,47.1,17.6,64.7
6020190,ATKINSON COUNTY,PEARSON ELEME,93,829.56,10.8,65.6,23.7,89.2,92,828.91,15.2,57.6,27.2,84.8,93,829.60,23.7,50.5,25.8,76.3,92,821.37,25.0,48.9,26.1,75.0,92,815.45,25.0,65.2,9.8,75.0
6033050,BACON COUNTY,BACON CO ELEM,162,829.28,8.0,67.9,24.1,92.0,162,832.19,8.0,63.0,29.0,92.0,162,825.78,22.2,54.9,22.8,77.8,162,828.33,14.8,59.3,25.9,85.2,162,816.97,25.3,63.0,11.7,74.7
6040105,BAKER COUNTY,BAKER COUNTY,26,812.65,38.5,53.8,7.7,61.5,26,817.88,38.5,46.2,15.4,61.5,26,803.19,50.0,30.8,19.2,50.0,26,802.04,42.3,38.5,19.2,57.7,26,787.54,61.5,38.5,0.0,38.5
6050104,BALDWIN COUNTY,EAGLE RIDGE E,106,827.45,14.2,61.3,24.5,85.8,106,823.54,17.0,66.0,17.0,83.0,106,820.63,33.0,40.6,26.4,67.0,106,818.22,34.0,40.6,25.5,66.0,106,804.01,53.8,37.7,8.5,46.2
6050194,BALDWIN COUNTY,MIDWAY ELEMEN,78,831.36,5.1,71.8,23.1,94.9,78,831.47,7.7,65.4,26.9,92.3,78,815.44,32.1,50.0,17.9,67.9,78,814.78,32.1,51.3,16.7,67.9,78,806.41,39.7,60.3,0.0,60.3
6050195,BALDWIN COUNTY,BLANDY HILLS,102,827.15,16.7,65.7,17.6,83.3,102,826.44,14.7,58.8,26.5,85.3,102,810.49,44.1,42.2,13.7,55.9,102,817.91,36.3,40.2,23.5,63.7,102,807.15,42.2,48.0,9.8,57.8
6050199,BALDWIN COUNTY,CREEKSIDE ELE,123,828.80,14.6,57.7,27.6,85.4,123,822.26,19.5,63.4,17.1,80.5,123,805.97,45.5,42.3,12.2,54.5,123,832.16,22.0,41.5,36.6,78.0,123,811.38,31.7,56.1,12.2,68.3
