Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6010177,APPLING COUNTY,APPLING CO EL,148,822.72,14.2,68.2,17.6,85.8,148,828.84,11.5,62.2,26.4,88.5,148,831.16,16.9,55.4,27.7,83.1,148,810.49,38.5,43.2,18.2,61.5,148,801.59,52.7,44.6,2.7,47.3
6011050,APPLING COUNTY,ALTAMAHA ELEM,51,831.57,7.8,68.6,23.5,92.2,51,838.98,11.8,43.1,45.1,88.2,51,837.47,13.7,41.2,45.1,86.3,51,840.31,11.8,41.2,47.1,88.2,51,817.82,25.5,62.7,11.8,74.5
6015050,APPLING COUNTY,FOURTH DISTRI,24,832.38,0.0,83.3,16.7,100.0,24,837.46,0.0,70.8,29.2,100.0,24,832.29,12.5,58.3,29.2,87.5,24,814.58,20.8,75.0,4.2,79.2,24,803.58,41.7,58.3,0.0,58.3
6020187,ATKINSON COUNTY,WILLACOOCHEE,36,824.33,16.7,61.1,22.2,83.3,36,830.81,11.1,69.4,19.4,88.9,36,825.00,25.0,55.6,19.4,75.0,36,820.03,22.2,55.6,22.2,77.8,36,823.83,22.2,61.1,16.7,77.8
6020190,ATKINSON COUNTY,PEARSON ELEME,91,827.16,12.1,62.6,25.3,87.9,91,834.81,11.0,54.9,34.1,89.0,90,830.37,18.9,46.7,34.4,81.1,90,820.67,22.2,53.3,24.4,77.8,89,829.01,12.4,61.8,25.8,87.6
6033050,BACON COUNTY,BACON CO ELEM,137,829.78,6.6,72.3,21.2,93.4,137,838.74,6.6,51.8,41.6,93.4,137,840.60,15.3,40.1,44.5,84.7,137,843.40,14.6,39.4,46.0,85.4,137,825.09,18.2,62.8,19.0,81.8
6040105,BAKER COUNTY,BAKER COUNTY,21,827.81,9.5,71.4,19.0,90.5,21,833.90,9.5,57.1,33.3,90.5,21,815.05,19.0,76.2,4.8,81.0,21,816.29,23.8,57.1,19.0,76.2,21,808.95,33.3,61.9,4.8,66.7
6050104,BALDWIN COUNTY,EAGLE RIDGE E,112,819.74,17.9,68.8,13.4,82.1,112,830.07,13.4,59.8,26.8,86.6,112,836.00,15.2,49.1,35.7,84.8,112,816.05,35.7,47.3,17.0,64.3,111,806.63,45.0,48.6,6.3,55.0
6050194,BALDWIN COUNTY,MIDWAY ELEMEN,94,817.50,19.1,69.1,11.7,80.9,94,827.15,9.6,69.1,21.3,90.4,94,827.29,20.2,54.3,25.5,79.8,94,816.90,33.0,41.5,25.5,67.0,93,812.71,31.2,60.2,8.6,68.8
6050195,BALDWIN COUNTY,BLANDY HILLS,120,827.12,10.0,72.5,17.5,90.0,120,836.33,5.8,65.0,29.2,94.2,120,818.04,25.8,55.8,18.3,74.2,120,833.53,16.7,46.7,36.7,83.3,120,821.53,19.2,64.2,16.7,80.8
6050199,BALDWIN COUNTY,CREEKSIDE ELE,131,818.47,20.6,69.5,9.9,79.4,131,832.34,11.5,58.8,29.8,88.5,131,814.07,29.8,58.0,12.2,70.2,131,821.91,24.4,54.2,21.4,75.6,131,817.15,26.0,60.3,13.7,74.0
6060107,BANKS COUNTY,BANKS CO ELEM,251,829.77,10.8,66.1,23.1,89.2,251,839.60,8.4,51.0,40.6,91.6,251,833.02,19.9,47.0,33.1,80.1,251,827.39,22.7,47.4,29.9,77.3,251,823.96,25.1,52.2,22.7,74.9
6070105,BARROW COUNTY,COUNTY LINE E,137,823.39,8.0,81.0,10.9,92.0,137,831.27,8.0,67.9,24.1,92.0,137,829.08,17.5,53.3,29.2,82.5,137,827.09,20.4,49.6,29.9,79.6,137,825.16,24.8,51.1,24.1,75.2
6070189,BARROW COUNTY,KENNEDY ELEME,83,830.59,4.8,74.7,20.5,95.2,83,838.65,4.8,57.8,37.3,95.2,83,846.10,6.0,39.8,54.2,94.0,83,822.05,18.1,63.9,18.1,81.9,83,816.88,22.9,73.5,3.6,77.1
6070193,BARROW COUNTY,BRAMLETT ELEM,118,824.38,9.3,75.4,15.3,90.7,118,830.90,8.5,64.4,27.1,91.5,118,832.30,16.1,49.2,34.7,83.9,118,834.58,13.6,50.0,36.4,86.4,118,814.19,24.6,70.3,5.1,75.4
6070205,BARROW COUNTY,BETHLEHEM ELE,114,832.76,8.8,64.9,26.3,91.2,114,832.53,11.4,59.6,28.9,88.6,114,831.52,18.4,47.4,34.2,81.6,114,819.75,21.9,57.0,21.1,78.1,114,822.67,27.2,51.8,21.1,72.8
6070298,BARROW COUNTY,YARGO ELEMENT,131,832.96,8.4,64.1,27.5,91.6,132,844.27,3.8,49.2,47.0,96.2,132,850.51,9.1,40.9,50.0,90.9,132,844.80,9.8,43.9,46.2,90.2,132,835.77,7.6,64.4,28.0,92.4
6071050,BARROW COUNTY,AUBURN ELEMEN,87,823.05,9.2,78.2,12.6,90.8,87,830.61,4.6,67.8,27.6,95.4,87,844.99,8.0,49.4,42.5,92.0,87,820.56,21.8,55.2,23.0,78.2,87,807.06,43.7,48.3,8.0,56.3
6074050,BARROW COUNTY,HOLSENBECK EL,138,827.12,15.2,61.6,23.2,84.8,138,830.83,8.7,60.9,30.4,91.3,138,834.78,17.4,50.7,31.9,82.6,138,833.30,19.6,44.9,35.5,80.4,138,811.43,35.5,55.8,8.7,64.5
6075050,BARROW COUNTY,STATHAM ELEME,126,821.41,11.1,81.0,7.9,88.9,126,828.50,9.5,69.8,20.6,90.5,126,834.10,11.9,60.3,27.8,88.1,126,816.17,30.2,53.2,16.7,69.8,126,811.83,31.7,61.1,7.1,68.3
6080104,BARTOW COUNTY,CLEAR CREEK E,100,830.09,8.0,73.0,19.0,92.0,100,833.00,7.0,63.0,30.0,93.0,100,843.57,13.0,36.0,51.0,87.0,100,823.25,20.0,53.0,27.0,80.0,100,817.77,26.0,57.0,17.0,74.0
6080106,BARTOW COUNTY,PINE LOG ELEM,76,828.50,10.5,67.1,22.4,89.5,76,839.72,5.3,59.2,35.5,94.7,76,850.95,11.8,34.2,53.9,88.2,76,825.45,18.4,57.9,23.7,81.6,76,813.82,30.3,61.8,7.9,69.7
6080107,BARTOW COUNTY,EUHARLEE ELEM,137,831.83,7.3,70.1,22.6,92.7,137,836.69,6.6,54.7,38.7,93.4,137,830.59,20.4,45.3,34.3,79.6,137,826.36,25.5,42.3,32.1,74.5,136,815.13,32.4,55.9,11.8,67.6
6080175,BARTOW COUNTY,WHITE ELEMENT,92,836.27,7.6,66.3,26.1,92.4,92,848.74,3.3,37.0,59.8,96.7,92,872.23,2.2,21.7,76.1,97.8,92,837.66,18.5,37.0,44.6,81.5,92,818.23,29.3,58.7,12.0,70.7
6080177,BARTOW COUNTY,ADAIRSVILLE E,110,830.64,5.5,74.5,20.0,94.5,110,837.36,4.5,62.7,32.7,95.5,111,841.79,10.8,45.9,43.2,89.2,111,826.26,18.0,53.2,28.8,82.0,110,822.59,23.6,56.4,20.0,76.4
6080186,BARTOW COUNTY,MISSION ROAD,84,833.26,7.1,66.7,26.2,92.9,84,833.75,7.1,65.5,27.4,92.9,84,830.69,20.2,52.4,27.4,79.8,84,821.63,29.8,42.9,27.4,70.2,84,808.87,32.1,61.9,6.0,67.9
6080196,BARTOW COUNTY,ALLATOONA ELE,90,831.42,11.1,60.0,28.9,88.9,90,840.86,6.7,44.4,48.9,93.3,90,845.20,12.2,42.2,45.6,87.8,90,809.08,36.7,48.9,14.4,63.3,90,807.92,37.8,57.8,4.4,62.2
6080296,BARTOW COUNTY,KINGSTON ELEM,99,826.15,14.1,67.7,18.2,85.9,99,829.56,12.1,60.6,27.3,87.9,98,837.81,23.5,34.7,41.8,76.5,97,813.77,29.9,52.6,17.5,70.1,97,810.03,36.1,57.7,6.2,63.9
