Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6010109,APPLING COUNTY,BAXLEY WILDER,10,807.60,40.0,60.0,0.0,60.0,10,802.90,30.0,70.0,0.0,70.0,10,769.00,100.0,0.0,0.0,0.0,10,776.20,90.0,10.0,0.0,10.0,10,766.40,100.0,0.0,0.0,0.0
6010195,APPLING COUNTY,APPLING CO MI,281,834.41,6.0,68.3,25.6,94.0,281,836.42,10.0,56.2,33.8,90.0,281,826.74,17.4,58.0,24.6,82.6,281,806.05,42.0,50.2,7.8,58.0,281,799.54,50.5,41.3,8.2,49.5
6020103,ATKINSON COUNTY,ATKINSON CO H,132,831.30,4.5,76.5,18.9,95.5,132,828.48,9.1,72.0,18.9,90.9,133,809.29,29.3,60.9,9.8,70.7,133,804.29,51.9,40.6,7.5,48.1,132,807.81,45.5,41.7,12.9,54.5
6030202,BACON COUNTY,BACON CO MIDD,128,830.92,3.9,75.0,21.1,96.1,128,827.73,10.9,68.8,20.3,89.1,128,813.44,31.3,54.7,14.1,68.8,128,812.27,39.1,48.4,12.5,60.9,128,818.98,30.5,44.5,25.0,69.5
6040105,BAKER COUNTY,BAKER COUNTY,25,827.60,8.0,80.0,12.0,92.0,25,821.96,16.0,68.0,16.0,84.0,25,802.80,44.0,52.0,4.0,56.0,25,796.00,60.0,40.0,0.0,40.0,25,793.80,60.0,40.0,0.0,40.0
6050100,BALDWIN COUNTY,OAK HILL MS,375,827.87,7.2,77.6,15.2,92.8,375,828.84,10.4,68.3,21.3,89.6,375,810.13,35.2,51.5,13.3,64.8,375,805.11,44.3,48.5,7.2,55.7,375,806.86,39.2,51.2,9.6,60.8
6060105,BANKS COUNTY,BANKS CO MIDD,210,840.44,3.3,60.5,36.2,96.7,210,844.49,7.6,48.1,44.3,92.4,210,835.65,7.6,57.6,34.8,92.4,210,826.61,16.7,61.9,21.4,83.3,210,845.77,11.9,37.1,51.0,88.1
6070106,BARROW COUNTY,HAYMON MORRIS,248,833.24,2.8,72.2,25.0,97.2,248,839.23,4.4,62.9,32.7,95.6,248,824.58,18.5,59.7,21.8,81.5,248,813.70,29.4,60.1,10.5,70.6,247,820.81,28.7,47.8,23.5,71.3
6070198,BARROW COUNTY,WESTSIDE MIDD,151,837.43,1.3,67.5,31.1,98.7,151,839.97,2.6,59.6,37.7,97.4,151,826.93,11.3,68.2,20.5,88.7,151,812.54,29.8,61.6,8.6,70.2,151,812.89,28.5,61.6,9.9,71.5
6070289,BARROW COUNTY,RUSSELL MIDDL,248,832.85,6.0,69.8,24.2,94.0,246,831.64,9.3,61.0,29.7,90.7,248,820.63,25.4,52.4,22.2,74.6,246,812.74,38.2,45.1,16.7,61.8,247,810.83,36.0,48.6,15.4,64.0
6072052,BARROW COUNTY,WINDER BARROW,224,832.49,4.9,70.5,24.6,95.1,224,839.22,7.1,58.9,33.9,92.9,224,807.95,36.2,54.0,9.8,63.8,224,809.16,41.1,50.0,8.9,58.9,224,822.53,24.6,50.4,25.0,75.4
