Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6010109,APPLING COUNTY,BAXLEY WILDER,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--
6010195,APPLING COUNTY,APPLING CO MI,254,829.61,7.9,65.4,26.8,92.1,254,839.52,6.3,50.8,42.9,93.7,256,841.68,10.5,46.9,42.6,89.5,256,842.20,10.2,44.1,45.7,89.8,253,820.52,32.0,45.1,22.9,68.0
6020187,ATKINSON COUNTY,WILLACOOCHEE,34,831.56,5.9,73.5,20.6,94.1,34,834.50,5.9,64.7,29.4,94.1,34,835.82,8.8,52.9,38.2,91.2,34,816.03,23.5,73.5,2.9,76.5,34,792.59,61.8,32.4,5.9,38.2
6020190,ATKINSON COUNTY,PEARSON ELEME,81,822.05,13.6,72.8,13.6,86.4,81,832.67,9.9,61.7,28.4,90.1,79,822.52,16.5,72.2,11.4,83.5,79,816.67,25.3,62.0,12.7,74.7,79,804.73,44.3,50.6,5.1,55.7
6030202,BACON COUNTY,BACON CO MIDD,142,829.35,5.6,75.4,19.0,94.4,142,840.58,5.6,51.4,43.0,94.4,142,843.72,9.9,46.5,43.7,90.1,142,835.30,15.5,43.7,40.8,84.5,142,836.17,21.8,39.4,38.7,78.2
6040105,BAKER COUNTY,BAKER COUNTY,29,815.45,31.0,51.7,17.2,69.0,29,821.31,24.1,58.6,17.2,75.9,29,812.07,34.5,58.6,6.9,65.5,29,801.86,48.3,48.3,3.4,51.7,29,785.69,72.4,20.7,6.9,27.6
6050100,BALDWIN COUNTY,OAK HILL MS,347,820.05,16.1,68.3,15.6,83.9,347,828.01,13.3,63.1,23.6,86.7,345,822.37,24.6,56.2,19.1,75.4,345,827.83,25.2,47.8,27.0,74.8,344,809.94,45.3,39.0,15.7,54.7
6060105,BANKS COUNTY,BANKS CO MIDD,239,831.32,10.5,58.6,31.0,89.5,239,843.32,8.4,46.9,44.8,91.6,239,843.64,8.4,50.6,41.0,91.6,239,849.95,9.6,36.0,54.4,90.4,239,843.77,14.2,45.2,40.6,85.8
6070106,BARROW COUNTY,HAYMON MORRIS,269,828.85,8.2,71.4,20.4,91.8,269,839.81,4.8,55.0,40.1,95.2,269,839.42,5.9,63.6,30.5,94.1,268,843.34,9.7,45.1,45.1,90.3,267,839.33,17.6,45.3,37.1,82.4
6070198,BARROW COUNTY,WESTSIDE MIDD,196,827.68,8.2,72.4,19.4,91.8,195,833.34,8.2,62.6,29.2,91.8,195,839.71,12.8,48.2,39.0,87.2,195,831.99,20.5,46.7,32.8,79.5,195,831.89,27.2,40.0,32.8,72.8
6070289,BARROW COUNTY,RUSSELL MIDDL,204,825.19,15.2,64.7,20.1,84.8,204,828.30,13.2,63.7,23.0,86.8,204,832.35,13.2,63.7,23.0,86.8,204,827.60,23.0,49.5,27.5,77.0,204,831.25,26.5,40.2,33.3,73.5
6072052,BARROW COUNTY,WINDER BARROW,230,826.66,9.6,73.0,17.4,90.4,230,832.52,7.4,64.3,28.3,92.6,230,827.10,16.1,60.0,23.9,83.9,230,831.08,18.3,53.5,28.3,81.7,230,835.56,19.1,44.8,36.1,80.9
6080101,BARTOW COUNTY,WOODLAND MIDD,305,828.68,11.1,63.9,24.9,88.9,305,838.00,7.2,55.7,37.0,92.8,305,831.71,14.4,59.7,25.9,85.6,305,834.94,16.1,50.8,33.1,83.9,305,836.75,19.0,42.0,39.0,81.0
6080190,BARTOW COUNTY,SOUTH CENTRAL,204,822.14,14.2,68.6,17.2,85.8,203,828.27,11.3,69.0,19.7,88.7,204,830.60,15.2,57.4,27.5,84.8,204,822.18,35.8,37.7,26.5,64.2,202,824.52,34.7,32.7,32.7,65.3
6080195,BARTOW COUNTY,CASS MIDDLE S,316,824.79,11.4,69.6,19.0,88.6,315,834.59,10.2,57.5,32.4,89.8,316,835.17,14.6,54.1,31.3,85.4,315,830.82,18.4,51.7,29.8,81.6,315,839.16,21.3,38.7,40.0,78.7
6080301,BARTOW COUNTY,ADAIRSVILLE M,252,825.92,13.1,65.9,21.0,86.9,252,833.01,10.7,57.9,31.3,89.3,252,844.94,9.5,45.6,44.8,90.5,251,833.93,16.3,51.0,32.7,83.7,252,823.02,28.2,48.0,23.8,71.8
6090296,BEN HILL COUNTY,BEN HILL CO M,242,816.29,21.1,68.6,10.3,78.9,242,825.94,13.2,64.9,21.9,86.8,242,819.62,26.0,58.3,15.7,74.0,238,815.16,37.4,45.0,17.6,62.6,237,800.21,52.7,36.3,11.0,47.3
6100194,BERRIEN COUNTY,BERRIEN MIDDL,228,825.20,11.8,73.2,14.9,88.2,228,833.85,11.0,59.6,29.4,89.0,228,830.34,13.6,61.4,25.0,86.4,228,835.13,17.1,48.7,34.2,82.9,228,818.59,28.9,51.3,19.7,71.1
6110107,BIBB COUNTY,BLOOMFIELD MI,185,810.56,26.5,67.6,5.9,73.5,184,817.19,21.2,65.2,13.6,78.8,185,811.90,38.9,48.6,12.4,61.1,184,796.21,60.3,36.4,3.3,39.7,183,790.86,62.8,31.7,5.5,37.2
